pl_rade,pl_trandep,st_teff,pl_trandur,pl_orbper,st_rad,sy_dist,pl_bmasse,label_standardized,dataset_source
3.07,1772.5,5659.0,4.1072,21.02250608,0.75,264.78,12.0,CONFIRMED,KEPLER
1.69,488.2,5659.0,2.0642,3.219814777,0.787,264.78,12.0,CONFIRMED,KEPLER
1.73,961.4,5659.0,2.3254,5.912273234,0.57,264.78,12.0,CONFIRMED,KEPLER
1.65,881.3,5659.0,2.8606,8.98581901,0.57,264.78,12.0,CONFIRMED,KEPLER
22.94,42450.0,5659.0,2.4845,12.940668656,0.809,264.78,12.0,CANDIDATE,KEPLER
2.41,218.5,5659.0,2.517,20.5452375,1.264,264.78,12.0,FALSE POSITIVE,KEPLER
8.46,7425.9,5659.0,4.4056,33.60123371,0.93,264.78,12.0,CONFIRMED,KEPLER
1.97,450.7,5659.0,2.9004,6.76652928,0.93,264.78,12.0,CONFIRMED,KEPLER
2.36,451.6,5659.0,2.1024,4.347288783,1.122,264.78,12.0,CONFIRMED,KEPLER
2.35,755.9,5659.0,2.2607,4.601811819,0.833,264.78,12.0,CONFIRMED,KEPLER
1.55,353.6,5659.0,3.252,11.18719905,0.833,264.78,12.0,CONFIRMED,KEPLER
2.62,2260.0,5659.0,3.0854,4.220965778,0.517,264.78,12.0,CONFIRMED,KEPLER
588.66,20285.0,5659.0,2.0488,6.998099523,0.829,264.78,12.0,FALSE POSITIVE,KEPLER
2.33,1410.7,5659.0,2.3892,5.95489993,0.633,264.78,12.0,CONFIRMED,KEPLER
2.18,1250.6,5659.0,2.7363,12.03987488,0.633,264.78,12.0,CONFIRMED,KEPLER
1.42,439.0,5659.0,2.3734,20.83762895,0.633,264.78,12.0,CONFIRMED,KEPLER
63.66,401.1,5659.0,5.0683,8.8111022,2.404,264.78,12.0,FALSE POSITIVE,KEPLER
3.16,1200.7,5659.0,5.073,23.58917143,0.721,264.78,12.0,CONFIRMED,KEPLER
2.54,298.5,5659.0,3.784,6.481633073,1.302,264.78,12.0,CONFIRMED,KEPLER
3.2,1254.9,5659.0,3.035,10.37168928,0.888,264.78,12.0,CONFIRMED,KEPLER
1.78,299.2,5659.0,1.1757,3.96996298,0.888,264.78,12.0,CONFIRMED,KEPLER
2.66,549.4,5659.0,5.012,4.40841331,0.961,264.78,12.0,CONFIRMED,KEPLER
4.68,1590.7,5659.0,6.703,7.9426176,0.926,264.78,12.0,FALSE POSITIVE,KEPLER
4.53,3136.4,5659.0,7.558,226.8904775,0.75,264.78,12.0,CONFIRMED,KEPLER
21.58,24905.0,5659.0,2.1958,1.956811408,0.603,264.78,12.0,FALSE POSITIVE,KEPLER
12.04,37492.0,5659.0,2.11275,2.688899233,0.639,264.78,12.0,CANDIDATE,KEPLER
4.16,3036.1,5659.0,2.8979,9.439459486,0.779,264.78,12.0,CONFIRMED,KEPLER
3.13,507.3,5659.0,3.8757,11.523067458,1.411,264.78,12.0,CONFIRMED,KEPLER
2.92,1382.4,5659.0,2.8364,20.47748843,0.779,264.78,12.0,CONFIRMED,KEPLER
1.74,516.3,5659.0,1.9616,3.336123113,0.779,264.78,12.0,CONFIRMED,KEPLER
1.72,1333.6,5659.0,2.312,8.01078456,0.47,264.78,12.0,CONFIRMED,KEPLER
1.29,759.2,5659.0,4.3224,12.07134205,0.47,264.78,12.0,CONFIRMED,KEPLER
1.3,767.3,5659.0,2.6333,20.99587872,0.47,264.78,12.0,CONFIRMED,KEPLER
2.45,620.5,5659.0,2.5242,7.41113177,0.919,264.78,12.0,CONFIRMED,KEPLER
4.14,1823.5,5659.0,0.9967,1.000747038,0.79,264.78,12.0,FALSE POSITIVE,KEPLER
10.51,16053.0,5659.0,2.07004,8.884922995,0.843,264.78,12.0,CONFIRMED,KEPLER
8.95,6911.1,5659.0,4.20241,8.09888906,1.076,264.78,12.0,CONFIRMED,KEPLER
3.52,936.1,5659.0,5.344,10.00653012,1.001,264.78,12.0,CONFIRMED,KEPLER
13.16,9065.2,5659.0,7.41287,17.855221681,1.367,264.78,12.0,CONFIRMED,KEPLER
4.87,6465.7,5659.0,2.2083,12.732624065,0.541,264.78,12.0,CANDIDATE,KEPLER
